goos: linux
goarch: amd64
pkg: github.com/exergy-dev/go-topology-suite/buffer
cpu: Intel(R) Core(TM) i9-14900KF
BenchmarkUnion/ngon/n=1024-32               	     427	   2808449 ns/op	 2846153 B/op	   15672 allocs/op
BenchmarkUnion/ngon/n=1024-32               	     428	   2814501 ns/op	 2846151 B/op	   15672 allocs/op
BenchmarkUnion/ngon/n=1024-32               	     434	   2786607 ns/op	 2846149 B/op	   15672 allocs/op
BenchmarkUnion/ngon/n=1024-32               	     424	   2744288 ns/op	 2846145 B/op	   15672 allocs/op
BenchmarkUnion/ngon/n=1024-32               	     414	   2913027 ns/op	 2846151 B/op	   15672 allocs/op
BenchmarkUnion/ngon/n=1024-32               	     405	   3022903 ns/op	 2846148 B/op	   15672 allocs/op
BenchmarkUnion/ngon/n=8192-32               	      43	  26793078 ns/op	23049531 B/op	  123998 allocs/op
BenchmarkUnion/ngon/n=8192-32               	      43	  28016486 ns/op	23049520 B/op	  123998 allocs/op
BenchmarkUnion/ngon/n=8192-32               	      43	  27674940 ns/op	23049533 B/op	  123999 allocs/op
BenchmarkUnion/ngon/n=8192-32               	      45	  26528005 ns/op	23049536 B/op	  123999 allocs/op
BenchmarkUnion/ngon/n=8192-32               	      42	  28214862 ns/op	23049537 B/op	  123999 allocs/op
BenchmarkUnion/ngon/n=8192-32               	      49	  26252396 ns/op	23049520 B/op	  123998 allocs/op
BenchmarkUnion/ngon/n=8192-32               	      45	  26684956 ns/op	23049531 B/op	  123998 allocs/op
BenchmarkUnion/ngon/n=8192-32               	      43	  25867234 ns/op	23049562 B/op	  123999 allocs/op
BenchmarkUnion/ngon/n=8192-32               	      42	  25542176 ns/op	23048217 B/op	  123998 allocs/op
BenchmarkUnion/ngon/n=8192-32               	      46	  25226419 ns/op	23049502 B/op	  123998 allocs/op
BenchmarkUnion/star/n=64-32                 	    2706	    452968 ns/op	  299014 B/op	    2279 allocs/op
BenchmarkUnion/star/n=64-32                 	    2697	    437161 ns/op	  299015 B/op	    2279 allocs/op
BenchmarkUnion/star/n=64-32                 	    2864	    443235 ns/op	  299014 B/op	    2279 allocs/op
BenchmarkUnion/star/n=64-32                 	    2928	    441682 ns/op	  299014 B/op	    2279 allocs/op
BenchmarkUnion/star/n=64-32                 	    2866	    444591 ns/op	  299014 B/op	    2279 allocs/op
BenchmarkUnion/star/n=64-32                 	    2641	    437222 ns/op	  299014 B/op	    2279 allocs/op
BenchmarkUnion/star/n=64-32                 	    2775	    439698 ns/op	  299015 B/op	    2279 allocs/op
BenchmarkUnion/star/n=64-32                 	    2670	    445057 ns/op	  299014 B/op	    2279 allocs/op
BenchmarkUnion/star/n=64-32                 	    2628	    448598 ns/op	  299014 B/op	    2279 allocs/op
BenchmarkUnion/star/n=64-32                 	    2599	    451215 ns/op	  299014 B/op	    2279 allocs/op
BenchmarkUnion/star/n=1024-32               	       3	 450134839 ns/op	32235752 B/op	  271524 allocs/op
BenchmarkUnion/star/n=1024-32               	       3	 449907581 ns/op	32272712 B/op	  271528 allocs/op
BenchmarkUnion/star/n=1024-32               	       3	 461641582 ns/op	32272712 B/op	  271528 allocs/op
BenchmarkUnion/star/n=1024-32               	       3	 456334424 ns/op	32248061 B/op	  271525 allocs/op
BenchmarkUnion/star/n=1024-32               	       3	 460211025 ns/op	32235816 B/op	  271524 allocs/op
BenchmarkUnion/star/n=1024-32               	       3	 448248811 ns/op	32248093 B/op	  271525 allocs/op
BenchmarkUnion/star/n=1024-32               	       3	 447757953 ns/op	32248125 B/op	  271526 allocs/op
BenchmarkUnion/star/n=1024-32               	       3	 463487052 ns/op	32297362 B/op	  271531 allocs/op
BenchmarkUnion/star/n=1024-32               	       3	 464880168 ns/op	32248061 B/op	  271525 allocs/op
BenchmarkUnion/star/n=1024-32               	       3	 454229152 ns/op	32285053 B/op	  271530 allocs/op
BenchmarkDifference/ngon/n=64-32            	    7521	    158643 ns/op	  139419 B/op	     868 allocs/op
BenchmarkDifference/ngon/n=64-32            	    7539	    157392 ns/op	  139419 B/op	     868 allocs/op
BenchmarkDifference/ngon/n=64-32            	    7105	    154806 ns/op	  139419 B/op	     868 allocs/op
BenchmarkDifference/ngon/n=64-32            	    8080	    158198 ns/op	  139419 B/op	     868 allocs/op
BenchmarkDifference/ngon/n=64-32            	    7351	    161532 ns/op	  139419 B/op	     868 allocs/op
BenchmarkDifference/ngon/n=64-32            	    7782	    159868 ns/op	  139419 B/op	     868 allocs/op
